000328,上投摩根转型动力灵活配置混合,2019-03-26,1.3490,1.3529,0.29,2019-03-27 15:00
000240,华安年年盈定开债C,2019-03-22,1.0570,1.0565,-0.04,2019-03-27 15:00
000290,鹏华全球高收益债,2019-03-25,1.1522,1.1522,0.00,2019-03-27 16:00
000346,建信安心回报两年定开债A,2019-03-26,1.0470,1.0473,0.03,2019-03-27 15:00
000294,华安生态优先混合,2019-03-26,2.2970,2.3393,1.84,2019-03-27 15:00
000326,南方中小盘成长股票,2019-03-26,1.1297,1.1340,0.38,2019-03-27 15:00
000297,鹏华可转债债券,2019-03-26,0.9220,0.9234,0.15,2019-03-27 15:00
000355,南方丰元信用增强债券A,2019-03-26,1.2150,1.2153,0.03,2019-03-27 15:00
000279,华商红利优选混合,2019-03-26,0.9120,0.9203,0.91,2019-03-27 15:00
000362,国泰聚信价值优势灵活配置A,2019-03-26,1.2250,1.2519,2.20,2019-03-27 15:00
000296,鹏华丰实定期开放债券B,2019-03-26,1.0920,1.0922,0.02,2019-03-27 15:00
000386,景顺长城景颐双利债券C,2019-03-26,1.5100,1.5114,0.09,2019-03-27 15:00
000318,中海惠利分级债券B,2019-03-26,0.9981,0.9984,0.03,2019-03-27 15:00
000369,广发全球医疗保健(QDII),2019-03-25,1.4420,1.4468,0.34,2019-03-27 04:00
000401,中融增鑫定期开放债券C,2019-03-26,1.3220,1.3224,0.03,2019-03-27 15:00
000377,上投摩根双债增利债券A,2019-03-26,1.0360,1.0364,0.04,2019-03-27 15:00
000361,信诚年年有余B,2019-03-26,1.1610,1.1614,0.04,2019-03-27 15:00
000341,嘉实新兴市场C2(QDII),2019-03-25,1.1670,1.1670,0.00,2019-03-27 04:00
000418,景顺长城成长之星,2019-03-26,1.7120,1.7170,0.29,2019-03-27 15:00
000420,大摩优质信价纯债C,2019-03-26,1.0720,1.0723,0.03,2019-03-27 15:00
000351,国富恒丰定期债券A,2019-03-22,1.0240,1.0266,0.25,2019-03-27 15:00
000336,农银研究精选,2019-03-26,1.1348,1.1307,-0.36,2019-03-27 15:00
000427,大成信用增利一年定开债券C,2019-03-26,1.1100,1.1107,0.06,2019-03-27 15:00
000426,大成信用增利一年定开债券A,2019-03-26,1.1270,1.1277,0.06,2019-03-27 15:00
000387,泰达宏利瑞利债券A,2019-03-26,1.0000,1.0001,0.01,2019-03-27 15:00
000438,融通月月添利定开债B,2019-03-26,1.0560,1.0564,0.03,2019-03-27 15:00
000410,益民服务领先混合,2019-03-26,2.8060,2.8316,0.91,2019-03-27 15:00
000462,农银主题轮动混合,2019-03-26,0.9923,0.9987,0.65,2019-03-27 15:00
000465,景顺长城鑫月薪定期支付债券,2019-03-26,1.0390,1.0393,0.03,2019-03-27 15:00
000429,易方达聚盈分级债券发起式A,2019-03-26,1.0038,1.0039,0.01,2019-03-27 15:00
000477,广发主题领先混合,2019-03-26,1.5180,1.5300,0.79,2019-03-27 15:00
000478,建信中证500指数增强A,2019-03-26,2.0589,2.0781,0.93,2019-03-27 15:00
000428,易方达聚盈分级债券发起式,2019-03-26,1.0179,1.0182,0.03,2019-03-27 15:00
000466,融通通瑞债券A/B,2019-03-26,1.0820,1.0831,0.10,2019-03-27 15:00
000512,国泰结构转型灵活配置混合A,2019-03-26,1.7670,1.7823,0.86,2019-03-27 15:00
000394,融通通源短融债券A,2019-03-26,1.0180,1.0183,0.03,2019-03-27 15:00
000480,东方红新动力混合,2019-03-26,2.4120,2.4264,0.60,2019-03-27 15:00
000481,华商双债丰利债券C,2019-03-26,0.8620,0.8622,0.02,2019-03-27 15:00
000520,上银新兴价值成长混合,2019-03-26,1.0860,1.1024,1.51,2019-03-27 15:00
000501,华富恒富18个月定开债C,2019-03-22,1.1207,1.1207,0.00,2019-03-27 15:00
000510,诺安永鑫收益一年定开债券,2019-03-22,1.0390,1.0390,0.00,2019-03-27 15:00
000545,中邮核心竞争力灵活配置混合,2019-03-26,1.1090,1.1124,0.30,2019-03-27 15:00
000561,南方启元债券A,2019-03-26,1.1360,1.1363,0.02,2019-03-27 15:00
000563,南方通利债券A,2019-03-26,1.1190,1.1193,0.03,2019-03-27 15:00
000516,富国祥利一年期定期开放债券型A,2019-03-26,1.0730,1.0733,0.03,2019-03-27 15:00
000529,广发竞争优势混合,2019-03-26,1.6740,1.7029,1.72,2019-03-27 15:00
000574,宝盈新价值混合,2019-03-26,1.3280,1.3532,1.90,2019-03-27 15:00
000591,中银健康生活混合,2019-03-26,1.4080,1.4201,0.86,2019-03-27 15:00
000554,中国梦基金,2019-03-26,1.3880,1.3935,0.40,2019-03-27 15:00
000595,嘉实泰和混合,2019-03-26,2.2360,2.2577,0.97,2019-03-27 15:00
000564,南方通利债券C,2019-03-26,1.1150,1.1153,0.03,2019-03-27 15:00
000609,华商新量化灵活配置混合,2019-03-26,1.1240,1.1431,1.70,2019-03-27 15:00
000616,上投摩根优信增利债券A,2019-03-26,1.4120,1.4126,0.04,2019-03-27 15:00
000601,华宝创新优选混合,2019-03-26,0.9980,1.0026,0.46,2019-03-27 15:00
000628,大成高新技术产业股票,2019-03-26,1.6150,1.6419,1.66,2019-03-27 15:00
000655,鑫元稳利债券,2019-03-26,1.0738,1.0741,0.02,2019-03-27 15:00
000584,新华鑫益灵活配置混合,2019-03-26,2.1570,2.1532,-0.18,2019-03-27 15:00
000606,天弘优选债券,2019-03-26,1.0289,1.0292,0.03,2019-03-27 15:00
000668,国寿安保尊享债券A,2019-03-26,1.2530,1.2534,0.03,2019-03-27 15:00
000629,圆信永丰纯债A,2019-03-22,1.1200,1.1200,0.00,2019-03-26 15:00
000623,华富恒财定开债C,2019-03-26,1.0187,1.0190,0.03,2019-03-27 15:00
000550,广发新动力混合,2019-03-26,1.8140,1.8369,1.26,2019-03-27 15:00
000624,华富恒财定开债A,2019-03-26,1.0321,1.0324,0.03,2019-03-27 15:00
000697,汇添富移动互联股票,2019-03-26,1.0760,1.0754,-0.05,2019-03-27 15:00
000617,上投摩根优信增利债券C,2019-03-26,1.3840,1.3846,0.04,2019-03-27 15:00
000593,易方达标普消费品指数美元现汇A,2019-03-25,0.2648,0.2653,0.20,2019-03-27 04:00
000679,招商丰利灵活配置混合A,2019-03-26,1.1270,1.1288,0.16,2019-03-27 15:00
000723,建信稳定添利债券C,2019-03-26,1.0760,1.0762,0.02,2019-03-27 15:00
000672,工银绝对收益混合发起B,2019-03-26,1.0270,1.0272,0.02,2019-03-27 15:00
000742,国泰新经济灵活配置混合,2019-03-26,1.7360,1.7422,0.36,2019-03-27 15:00
000743,红塔红土盛世普益混合发起式,2019-03-26,0.9330,0.9338,0.09,2019-03-27 15:00
000728,工银目标收益一年定开C,2019-03-22,1.1370,1.1441,0.62,2019-03-27 15:00
000744,北信瑞丰稳定收益A,2019-03-26,1.0680,1.0683,0.03,2019-03-27 15:00
000695,大成景益平稳收益混合,2019-03-26,1.4610,1.4622,0.09,2019-03-27 15:00
000690,前海开源大海洋混合,2019-03-26,1.0300,1.0339,0.38,2019-03-27 15:00
000711,嘉实医疗保健股票,2019-03-26,1.5160,1.5597,2.88,2019-03-27 15:00
000781,国投瑞银岁增利债券A,2019-03-26,1.0820,1.0822,0.02,2019-03-27 15:00
000793,工银高端制造股票,2019-03-26,0.7900,0.7986,1.08,2019-03-27 15:00
